2023-12-19 23:42:37;801;58
2023-12-19 23:42:41;962;4
2023-12-19 23:42:46;6804;76
2023-12-19 23:43:02;2310;60
2023-12-19 23:43:03;9562;24
2023-12-19 23:43:08;3738;96
2023-12-19 23:43:09;8394;72
2023-12-19 23:43:17;81;46
2023-12-19 23:43:19;6813;37
2023-12-19 23:43:20;2558;66
2023-12-19 23:43:22;1643;99
2023-12-19 23:43:38;6241;95
2023-12-19 23:43:40;582;13
2023-12-19 23:43:41;6415;70
2023-12-19 23:43:42;7088;45
2023-12-19 23:43:46;826;41
2023-12-19 23:43:55;8832;49
2023-12-19 23:43:59;4503;90
2023-12-19 23:44:01;1;77
2023-12-19 23:44:03;3572;71
2023-12-19 23:44:04;5346;89
2023-12-19 23:44:17;4695;3
2023-12-19 23:44:19;8729;98
2023-12-19 23:45:03;9350;89
2023-12-19 23:45:15;2768;40
2023-12-19 23:45:17;5340;46
2023-12-19 23:45:25;4149;53
2023-12-19 23:45:27;5523;4
2023-12-19 23:45:32;9054;28
2023-12-19 23:45:47;6868;81
2023-12-19 23:45:52;7060;18
2023-12-19 23:45:59;7525;1
2023-12-19 23:46:04;430;32
2023-12-19 23:46:11;1925;26
2023-12-19 23:46:13;3096;73
2023-12-19 23:46:18;2060;9
2023-12-19 23:46:18;2060;9
2023-12-19 23:46:21;4827;94
2023-12-19 23:46:26;688;2
2023-12-19 23:46:31;3353;7
2023-12-19 23:46:32;9044;84
2023-12-19 23:46:35;6352;76
2023-12-19 23:46:39;1592;10
2023-12-19 23:46:42;8391;93
2023-12-19 23:46:43;1395;43
2023-12-19 23:46:53;7940;65
2023-12-19 23:46:54;8780;13
2023-12-19 23:46:55;180;93
2023-12-19 23:47:31;1602;65
2023-12-19 23:47:43;852;6
2023-12-19 23:47:44;2911;93
2023-12-19 23:47:45;3808;92
2023-12-19 23:47:58;6514;49
2023-12-19 23:48:01;4328;7
2023-12-19 23:48:14;4881;46
2023-12-19 23:48:15;6072;53
2023-12-19 23:48:20;6901;67
2023-12-19 23:48:30;4271;31
2023-12-19 23:48:32;399;11
2023-12-19 23:48:46;8935;82
2023-12-19 23:48:55;75;73
2023-12-19 23:49:00;8861;66
2023-12-19 23:49:23;4419;14
2023-12-19 23:49:27;4611;51
2023-12-19 23:49:33;3304;83
2023-12-19 23:49:37;8128;67
2023-12-19 23:49:42;1821;14
2023-12-19 23:49:48;3221;71
2023-12-19 23:49:49;8169;11
2023-12-19 23:50:01;3080;47
2023-12-19 23:50:03;9767;48
2023-12-19 23:50:05;4933;1
2023-12-19 23:50:06;8361;95
2023-12-19 23:50:18;3321;65
2023-12-19 23:50:28;3900;31
2023-12-19 23:50:29;4942;69
2023-12-19 23:50:31;6666;89
2023-12-19 23:50:51;2974;88
2023-12-19 23:50:56;5579;84
2023-12-19 23:51:36;4816;54
2023-12-19 23:51:45;4880;51
2023-12-19 23:52:02;5355;48
2023-12-19 23:52:12;3929;92
2023-12-19 23:52:22;1055;76
2023-12-19 23:52:27;9819;71
2023-12-19 23:52:30;8048;51
2023-12-19 23:52:34;3756;51
2023-12-19 23:52:38;9848;31
2023-12-19 23:52:40;7193;68
2023-12-19 23:52:58;5731;40
2023-12-19 23:53:00;863;34
2023-12-19 23:53:02;2972;61
2023-12-19 23:53:09;9297;61
2023-12-19 23:53:15;533;49
2023-12-19 23:53:18;4621;8
2023-12-19 23:53:20;8178;14
2023-12-19 23:53:29;6340;46
2023-12-19 23:53:57;3536;99
2023-12-19 23:54:00;567;86
2023-12-19 23:54:02;886;71
2023-12-19 23:54:03;1329;24
2023-12-19 23:54:04;8046;56
2023-12-19 23:54:06;7403;5
2023-12-19 23:54:07;9853;25
2023-12-19 23:54:08;8476;21
2023-12-19 23:54:16;9274;91
2023-12-19 23:54:19;4744;96
2023-12-19 23:54:20;980;29
2023-12-19 23:54:23;3977;65
2023-12-19 23:54:30;6488;61
2023-12-19 23:54:48;3867;54
2023-12-19 23:54:50;8812;30
2023-12-19 23:54:56;5849;48
2023-12-19 23:54:59;3635;33
2023-12-19 23:55:02;2328;75
2023-12-19 23:55:03;4310;87
